weekly_div,weekly_loy,weekly_reg,daily_div,daily_loy,daily_reg,age,gender,marital,education,working,OS1Class
0.992650294,0.48,0.864101674,0.908748967,0.386666667,0.953999712,25,Male,Single,High School,Private Sector Employee,1
0.986455293,0.505494505,0.650259511,0.908871119,0.340659341,0.796262998,27,Male,Single,College,Private Sector Employee,1
0.878790425,0.745283019,0.934085264,0.928680413,0.311320755,0.931372428,32,Male,Single,College,Private Sector Employee,1
0.924381665,0.636363636,0.942478129,0.902436515,0.477272727,0.958284867,39,Female,Married,Master,Public Servant,1
0.90368168,0.666666667,0.891420814,0.951374198,0.361111111,0.868888285,33,Male,Single,College,Private Sector Employee,0
0.937728655,0.6625,0.902676819,0.90409773,0.4625,0.946283949,36,Male,Married,College,Public Servant,1
0.958957471,0.582417582,0.964631835,0.887665945,0.362637363,0.957116724,29,Male,Single,Master,Public Servant,1
0.887193939,0.733333333,0.987948954,0.925721644,0.377777778,0.911394912,28,Male,Single,College,Private Sector Employee,0
0.976242962,0.56,0.963973937,0.911408716,0.426666667,0.959362816,38,Male,Married,College,Private Sector Employee,0
0.883560576,0.807692308,0.922752605,0.947629745,0.5,0.838984071,34,Male,Single,College,Public Servant,1
0.837161347,0.722222222,0.376301509,0.910278013,0.611111111,0.300056921,29,Female,Married,College,Public Servant,0
0.957504231,0.578125,0.863401971,0.901334449,0.4375,0.931082865,49,Male,Married,Middle School,Self-Employed - Manufacture,1
0.841314212,0.777777778,0.890546002,0.935767248,0.428571429,0.974337572,35,Male,Married,College,Private Sector Employee,1
0.947855265,0.611111111,0.724726829,0.94360048,0.361111111,0.783871787,28,Male,Married,Middle School,Private Sector Employee,1
0.889057546,0.705882353,0.92425891,0.966416616,0.352941176,0.855603484,33,Female,Married,College,Private Sector Employee,1
0.959051362,0.593220339,0.963967628,0.956676329,0.279661017,0.966229131,37,Male,Single,Master,Private Sector Employee,1
0.965232531,0.592105263,0.954975576,0.897050768,0.407894737,0.944519069,32,Female,Married,Master,Public Servant,1
0.960054052,0.6125,0.877944743,0.944769503,0.3625,0.866644881,43,Male,Married,High School,Private Sector Employee,1
0.967102074,0.581395349,0.903124132,0.939576914,0.372093023,0.858191906,33,Female,Married,College,Public Servant,1
0.929882584,0.641509434,0.955503593,0.927417091,0.377358491,0.931087775,38,Male,Married,College,Public Servant,1
0.995986841,0.472222222,0.770772448,0.920653354,0.416666667,0.970186161,34,Male,Married,High School,Self-Employed - Retail,0
0.980371268,0.530973451,0.963247159,0.917815272,0.274336283,0.954436318,51,Male,Married,College,Self-Employed - Retail,1
0.878520451,0.714285714,0.792346975,0.929483486,0.642857143,0.909302231,43,Male,Married,College,Public Servant,0
0.878977322,0.72,0.929712963,0.876811576,0.56,0.948310162,32,Male,Married,College,Private Sector Employee,1
0.860513236,0.777777778,0.837218675,0.973539945,0.444444444,0.724825784,27,Male,Single,Master,Private Sector Employee,1
0.947523158,0.692307692,0.779287092,0.980723941,0.384615385,0.564643944,62,Male,Married,College,Retiree & Non-Employed,0
0.892702045,0.76,0.900628654,0.954915591,0.44,0.95548427,23,Male,Single,College,Public Servant,0
0.946287461,0.6,0.714618644,0.908063094,0.666666667,0.755496927,49,Male,Married,High School,Public Servant,1
0.955139863,0.591836735,0.931521288,0.90014609,0.469387755,0.958667546,43,Male,Married,Middle School,Private Sector Employee,1
